team_abbreviation,team_name_full,color,alternate_color
ATL,Atlanta Hawks,c8102e,fdb927
BOS,Boston Celtics,008348,ffffff
BKN,Brooklyn Nets,000000,ffffff
CHA,Charlotte Hornets,008ca8,1d1060
CHI,Chicago Bulls,ce1141,000000
CLE,Cleveland Cavaliers,860038,bc945c
DAL,Dallas Mavericks,0064b1,bbc4ca
DEN,Denver Nuggets,0e2240,fec524
DET,Detroit Pistons,1d428a,c8102e
GSW,Golden State Warriors,fdb927,1d428a
HOU,Houston Rockets,ce1141,000000
IND,Indiana Pacers,002d62,fdbb30
LAC,LA Clippers,1d428a,c8102e
LAL,Los Angeles Lakers,552583,fdb927
MEM,Memphis Grizzlies,5d76a9,12173f
MIA,Miami Heat,98002e,000000
MIL,Milwaukee Bucks,00471b,eee1c6
MIN,Minnesota Timberwolves,266092,79bc43
NOP,New Orleans Pelicans,0a2240,b4975a
NYK,New York Knicks,1d428a,f58426
OKC,Oklahoma City Thunder,007ac1,ef3b24
ORL,Orlando Magic,0077c0,c4ced4
PHI,Philadelphia 76ers,1d428a,e01234
PHX,Phoenix Suns,29127a,e56020
POR,Portland Trail Blazers,e03a3e,000000
SAC,Sacramento Kings,5a2d81,6a7a82
SAS,San Antonio Spurs,000000,c4ced4
TOR,Toronto Raptors,d91244,000000
UTA,Utah Jazz,000000,fff21f
WAS,Washington Wizards,e31837,002b5c
